R18,-2.56,-9.77,90.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,-13.66,12.20,0.00,0.47,ERA-1AEB3401C_0201
R1_USB,2.24,9.87,180.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R2,-4.51,-7.31,180.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R2_EP_DR,-12.38,12.23,0.00,10K,ERA-1AEB3401C_0201
R2_USB,-2.30,9.86,0.00,5k1,CPF0201D7K68C1_0201
R3,-3.57,-11.68,180.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R4,-5.19,-7.30,180.00,0,CPF0201D7K68C1_0201
R5,-13.47,-11.72,90.00,10K,CPF0201D7K68C1_0201
R7,10.80,-11.08,180.00,10K,CPF0201D7K68C1_0201
R8,4.11,-15.79,90.00,10K,CPF0201D7K68C1_0201
R9,-6.91,-14.40,90.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-7.21,15.16,180.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R_TYPE_SEL,-14.83,12.20,180.00,2.2,ERA-1AEB3401C_0201
SJ1,-18.42,12.84,90.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.05,-13.78,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.04,-13.79,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.08,-13.81,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-16.03,15.76,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,15.59,15.17,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-18.48,9.25,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,20.75,-1.51,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,16.71,-11.66,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,15.52,-8.78,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,18.20,-1.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,5.89,-9.89,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,0.38,-9.76,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,18.20,14.24,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,16.29,10.85,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,-3.15,7.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,20.69,-9.20,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-9.00,-9.58,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,4.68,2.14,180.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,18.72,-6.41,90.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,-1.97,-2.96,270.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,10.07,1.34,90.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
